Canadian Interest Rates


Monthly series: 2017-11 - 2022-10
V122530 = Bank rate

Summary,Date,V122530
Low,2022-02-01,0.50
High,2022-10-01,3.50
Average,2017-11-01 - 2022-10-01,1.35

Date,V122530
2022-10, 3.50
2022-09, 3.50
2022-08, 2.75
2022-07, 2.75
2022-06, 1.75
2022-05, 1.25
2022-04, 1.25
2022-03, 0.75
2022-02, 0.50
2022-01, 0.50
2021-12, 0.50
2021-11, 0.50
2021-10, 0.50
2021-09, 0.50
2021-08, 0.50
2021-07, 0.50
2021-06, 0.50
2021-05, 0.50
2021-04, 0.50
2021-03, 0.50
2021-02, 0.50
2021-01, 0.50
2020-12, 0.50
2020-11, 0.50
2020-10, 0.50
2020-09, 0.50
2020-08, 0.50
2020-07, 0.50
2020-06, 0.50
2020-05, 0.50
2020-04, 0.50
2020-03, 1.00
2020-02, 2.00
2020-01, 2.00
2019-12, 2.00
2019-11, 2.00
2019-10, 2.00
2019-09, 2.00
2019-08, 2.00
2019-07, 2.00
2019-06, 2.00
2019-05, 2.00
2019-04, 2.00
2019-03, 2.00
2019-02, 2.00
2019-01, 2.00
2018-12, 2.00
2018-11, 2.00
2018-10, 2.00
2018-09, 1.75
2018-08, 1.75
2018-07, 1.75
2018-06, 1.50
2018-05, 1.50
2018-04, 1.50
2018-03, 1.50
2018-02, 1.50
2018-01, 1.50
2017-12, 1.25
2017-11, 1.25
